Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW23,OUT018,488.5689660048228
FDM14,OUT018,1490.2933462531319
FDM14,OUT013,1691.0705599509092
FDW60,OUT018,2597.965677819752
FDE21,OUT013,1855.1460719501913
NCM42,OUT035,1854.1768642361678
FDY59,OUT010,45.002644830984224
DRI49,OUT049,1277.001010101508
FDT28,OUT019,334.3408511073339
FDQ22,OUT018,392.4924990335335
FDR60,OUT049,1173.994067666216
FDC50,OUT019,129.7470060971112
FDV24,OUT013,2318.882985771909
DRF48,OUT010,581.1122767802688
FDQ47,OUT046,695.9507419970847
DRN36,OUT049,1625.7578871812318
NCY06,OUT035,2147.906571241459
FDE52,OUT035,1533.951717961302
NCB54,OUT045,1890.669239752506
NCF31,OUT035,2470.824814066403
FDJ08,OUT027,5297.66542595695
NCC07,OUT017,1716.46464314054
NCD19,OUT027,1726.5525078241797
FDL46,OUT049,1912.2277372791787
FDM20,OUT045,3867.8498350233203
NCI06,OUT010,555.291084329435
DRM11,OUT035,4309.249777517328
NCH07,OUT018,2253.0071891139255
FDS23,OUT013,2063.3614677122414
FDO49,OUT018,587.156048541845
FDS35,OUT049,1088.4940007911591
DRK39,OUT045,1239.0790659163333
DRI39,OUT049,962.6436526562343
FDV04,OUT017,2396.9804234447306
NCN14,OUT035,3130.895107183791
FDH08,OUT013,3827.763147683107
FDS20,OUT046,3123.4296492955036
FDV40,OUT049,1180.4134714999436
FDZ48,OUT010,139.8361632327284
FDS24,OUT027,2489.9286461924094
FDK44,OUT049,2817.7367976665687
FDS48,OUT045,2497.3961127713305
FDK26,OUT010,625.6048742926588
FDD23,OUT045,3062.0179192297437
NCH54,OUT017,2715.172327776212
NCP14,OUT010,140.30164769662542
FDM60,OUT010,242.21316917201418
FDV24,OUT017,2231.4834234524587
FDH08,OUT018,3312.3780112861637
FDS12,OUT027,3387.0892795596787
FDR39,OUT027,5023.734695260021
FDP12,OUT027,1269.8802221758947
DRF60,OUT027,5632.520666100495
FDC09,OUT035,1827.8740199630438
FDF50,OUT018,3059.506749461509
FDG28,OUT035,4017.862678835794
NCE19,OUT017,961.7001520941853
NCM53,OUT010,129.07096373474687
NCN18,OUT049,1775.3375080734397
FDF32,OUT035,3451.6915681993905
FDF11,OUT013,4024.0001493568193
DRI59,OUT049,4093.267046006025
NCG54,OUT035,2797.3895756666548
FDM44,OUT046,1615.9986429522105
FDT57,OUT018,3319.3708429110034
FDV24,OUT046,2307.2548213232035
FDI50,OUT019,778.5784383033343
FDS09,OUT035,875.8925938785691
NCC31,OUT027,3993.6863761009554
FDQ07,OUT019,746.2368201135673
FDC22,OUT017,3251.3045453598606
FDZ56,OUT046,2767.2708524588256
FDZ40,OUT019,94.81711163550987
FDS46,OUT027,2984.292653640857
DRD24,OUT045,2034.1816460773098
FDV45,OUT017,3294.5160163954206
FDL26,OUT045,2623.302130988654
FDA56,OUT018,1722.0627240033361
FDN27,OUT046,1753.289986974688
FDM20,OUT049,4184.380457428879
FDO16,OUT017,1532.9147585946005
FDL03,OUT035,3354.4138812925794
FDE58,OUT046,1859.696410495386
FDI02,OUT027,3034.8975090707304
NCC55,OUT019,248.0291959439716
FDR03,OUT018,3060.419094850948
FDB14,OUT017,1450.910088350477
FDR45,OUT013,4155.321988135741
NCN07,OUT017,2123.6978401566753
FDM51,OUT019,151.8589718858833
FDT52,OUT027,6050.711185052994
FDL26,OUT046,2559.6979974103547
NCZ42,OUT046,3734.730008203054
DRI47,OUT019,402.4988546514339
FDW40,OUT013,2240.8328855537225
FDN34,OUT046,2815.8274586068997
FDS01,OUT035,3187.970384506825
NCG55,OUT045,1809.2114119557082
FDC11,OUT035,1311.9728192500866
FDX35,OUT018,3119.5212641685844
NCB06,OUT046,2604.3674513787664
FDR09,OUT019,942.8220140217105
FDC53,OUT017,1689.966567907398
FDY45,OUT013,4214.401580976944
FDA22,OUT010,519.9618428514797
FDE02,OUT035,1675.023389334543
FDW21,OUT045,1695.7030759884046
FDV34,OUT046,1215.962177397918
FDS59,OUT049,1898.9308674117772
NCW17,OUT017,2254.009421286888
NCK54,OUT046,1879.6349492497602
FDG17,OUT019,848.3861469750597
FDG35,OUT017,2956.9921883650677
FDD08,OUT010,265.03357157351866
NCO07,OUT017,3588.4122667580464
FDJ10,OUT010,333.6851914976189
FDW36,OUT017,1729.529736871641
FDW21,OUT010,122.49601071161537
FDY19,OUT017,1906.9338443191837
DRE03,OUT013,728.478753588979
NCC55,OUT049,694.6147449456015
FDH52,OUT010,78.85783104669476
FDO09,OUT017,4064.01086687036
FDU43,OUT045,3759.302111064984
FDX09,OUT010,516.2407778273632
FDH40,OUT019,93.34256916299587
FDW58,OUT017,1715.3440797025894
FDC47,OUT017,3997.6761004650857
NCR41,OUT035,1600.0946083887259
DRG49,OUT035,4163.291038054886
FDC52,OUT027,3925.097189683482
FDY13,OUT046,1186.2227515037914
FDY35,OUT013,694.0806347700931
FDI35,OUT017,3314.986924231438
NCU18,OUT049,2287.416667699743
FDY33,OUT018,2339.35337287845
FDC15,OUT027,4041.1781209483865
FDU01,OUT049,3184.128254626521
NCU42,OUT046,2855.8634004130745
NCV29,OUT018,2582.1426716182
NCY30,OUT017,3108.300022035504
FDQ46,OUT049,1829.3791160713288
FDG58,OUT027,3912.5635449456295
FDK33,OUT017,3789.19761786611
NCD07,OUT045,1717.5915918063722
NCX29,OUT027,3836.248803587787
NCT42,OUT013,2270.580139442692
DRN59,OUT035,767.3756799102766
FDI44,OUT035,1241.210458142721
FDA45,OUT049,2418.7429460037943
FDP31,OUT045,862.3685415149367
FDY01,OUT046,1865.927076675851
FDT09,OUT018,1910.9843126574297
DRH03,OUT027,2673.1141289017246
FDA36,OUT018,2403.1742445774694
NCF31,OUT017,2387.919146933296
FDG14,OUT049,2466.0067248652927
FDG28,OUT027,5955.449910518822
FDU14,OUT049,4033.6730435862532
FDY47,OUT019,271.1113041992694
FDI56,OUT049,1437.1955241482758
DRD01,OUT013,861.4159428776833
FDM22,OUT046,991.2442359738521
FDH33,OUT013,682.3798078688233
DRZ24,OUT013,1920.3162777032192
NCQ38,OUT046,1673.1128025947562
FDO16,OUT027,2347.341386005363
FDU07,OUT027,3833.2754972356156
NCB07,OUT013,2974.781943830511
FDU48,OUT045,1969.1587169181932
NCM43,OUT045,2678.1458919134334
FDR31,OUT010,383.99490643637
DRK49,OUT018,431.167815353502
NCI30,OUT010,862.482435855081
DRD60,OUT017,3164.567606152496
NCG19,OUT046,3313.308476526882
FDH12,OUT035,1754.866400654401
FDM32,OUT035,1519.5270828343992
FDM27,OUT035,2604.023216115136
NCU53,OUT027,4094.2182547851935
NCQ18,OUT046,1679.2461731122987
FDS10,OUT013,2948.2322711971324
FDB33,OUT027,4122.735614326901
FDI12,OUT013,1460.0030237987667
NCW42,OUT013,3571.4901113210694
NCC06,OUT018,1903.6465332843243
FDW02,OUT017,2393.0870355785405
NCD43,OUT017,1761.4734952457977
FDM57,OUT018,1031.1491911800365
FDA58,OUT017,3650.541460862944
FDK56,OUT046,3095.79983419322
FDP52,OUT045,3825.440516459186
FDW20,OUT018,1811.2628330523423
FDS52,OUT049,1632.84790722907
NCT29,OUT018,1672.8199603146238
NCL54,OUT013,2926.186584874786
FDC05,OUT045,3016.2132493343292
FDF34,OUT035,3015.8478348415824
FDP03,OUT027,3286.8345215682925
FDD32,OUT010,38.06581633991217
FDZ10,OUT045,1963.5254163903828
FDZ40,OUT035,969.9198082471453
FDD51,OUT018,504.05060804981827
NCY30,OUT019,565.9348504628746
FDP58,OUT017,3406.436507911269
FDV49,OUT017,4399.29972593346
FDY24,OUT019,101.65942083099253
NCO55,OUT017,1790.523716298223
FDR13,OUT017,1906.0547213456223
FDS51,OUT017,1056.4002919680427
FDP26,OUT045,1600.423603472562
NCB54,OUT027,3460.004928643232
FDF32,OUT017,3367.662043323516
FDN31,OUT018,2842.6402696312284
DRM48,OUT017,705.9186926237825
FDN20,OUT049,2886.1578479923314
DRL01,OUT046,3798.110871413486
FDV56,OUT049,1782.3821209866567
DRH13,OUT027,2772.5843825737957
FDA03,OUT017,2558.007556687741
FDF47,OUT027,5330.536454352865
FDX32,OUT046,2599.689808515094
FDX57,OUT049,1680.3259401281102
NCA30,OUT045,2996.654316142238
FDO49,OUT013,752.351588882383
FDL04,OUT019,159.07991849768305
DRM48,OUT035,699.7008576176231
FDR16,OUT013,3553.742615479598
NCC19,OUT018,2868.2434772208035
NCE42,OUT045,3314.484104308358
FDY24,OUT017,1048.4475996752753
FDH19,OUT049,2844.0564650585443
FDJ46,OUT013,2769.239694702297
FDN45,OUT010,751.0706149946764
FDY08,OUT035,2199.262873140902
FDZ37,OUT035,1523.2704055473266
NCT30,OUT045,763.5600001450383
DRY23,OUT018,491.122767187861
NCZ30,OUT018,1822.1160324775653
FDC44,OUT018,1585.8234825661277
FDB45,OUT035,1702.0802161687097
FDY04,OUT013,2605.7752557552635
FDM27,OUT046,2573.5514267812837
FDZ43,OUT017,3979.2022137347517
FDT39,OUT019,457.8649920137008
NCC06,OUT019,274.8182847165349
FDL15,OUT027,3946.960583894877
FDL57,OUT017,4527.574410578815
FDU08,OUT046,1524.0200353784037
FDK40,OUT017,4106.327234574961
FDQ12,OUT010,845.3763777789854
FDS48,OUT017,2597.43062943836
FDP09,OUT045,3540.9578620002903
FDW21,OUT049,1613.3156175710458
FDY25,OUT035,3259.0368139238703
DRE13,OUT017,1459.473084470614
FDV43,OUT019,220.5320178840328
FDD22,OUT045,1750.1722293578503
FDM46,OUT019,122.51092867704342
NCO30,OUT010,630.6904466985831
FDM25,OUT046,2786.9229875417254
NCN41,OUT049,2107.4697382404743
FDU24,OUT045,1479.2865720577447
FDZ50,OUT046,3033.024628664392
FDP45,OUT013,4218.8970639371755
NCM54,OUT045,1952.9877330994107
FDW10,OUT019,468.8899165669937
FDP20,OUT017,2092.410318138603
FDK32,OUT046,2513.985352145311
FDN52,OUT049,1396.8138907810762
FDM58,OUT045,1790.8516078183613
FDZ46,OUT027,2929.636739920757
NCA18,OUT018,1573.762056695552
FDD35,OUT046,2061.886647300231
NCK31,OUT035,814.2809338125822
FDI40,OUT027,2834.8690111183773
FDT50,OUT019,154.69072899430338
NCT06,OUT046,2638.543003893676
FDT31,OUT035,3102.907294573813
FDT45,OUT049,823.3170813746906
FDT13,OUT045,3098.4278377871174
FDO50,OUT045,1378.6318027082941
NCU18,OUT010,335.98838904686687
NCR54,OUT049,3180.2204112832683
NCO18,OUT018,2667.7691537891246
FDU09,OUT045,885.4619884319877
FDT13,OUT018,2854.2521163723723
FDE09,OUT046,1785.0214411331935
NCK53,OUT019,105.96304964870956
FDG45,OUT049,3770.8564381240394
DRH15,OUT035,794.0406474241667
FDO21,OUT019,869.1180886566864
FDD14,OUT027,5158.712274824743
FDC09,OUT046,1711.924876131151
FDH45,OUT027,1378.9368089253721
FDV32,OUT046,1134.0337149402958
FDG12,OUT035,2113.1013252076173
FDS32,OUT013,2086.214484472924
NCL55,OUT018,3375.4330477057483
DRE01,OUT035,4133.950795011505
DRE15,OUT049,1292.0983104598356
NCL42,OUT045,3798.3150491275082
FDP31,OUT013,965.6360181483766
FDN33,OUT018,1278.6036337848757
FDZ59,OUT046,2806.1695914463294
FDE45,OUT010,566.9662626584818
FDJ07,OUT013,1808.5411484094864
FDQ45,OUT018,2554.6297466041524
FDM33,OUT027,5494.83352002168
FDO15,OUT010,8.204373370108053
FDM46,OUT013,1504.5250124619809
FDR03,OUT045,3179.898081320995
FDY49,OUT018,2513.328239191465
FDQ60,OUT045,1864.3010631432307
FDW10,OUT049,2792.619713605194
FDO51,OUT049,765.8084522435864
FDJ40,OUT018,1458.2636731008204
FDS20,OUT018,2754.653356296902
FDU45,OUT013,1842.4454381235075
FDV02,OUT035,2866.519501811929
FDN09,OUT046,3723.8366345454183
NCM55,OUT027,4976.702173872984
FDN23,OUT018,2184.8447626172306
FDY31,OUT010,409.96287651511983
FDW03,OUT010,135.03061229698343
FDD14,OUT046,2795.4372437223014
FDV23,OUT017,2045.2177569882851
DRI03,OUT045,2739.3899158806894
FDN13,OUT035,1529.0012224749398
FDF45,OUT027,1832.5902509572109
FDU46,OUT035,1574.9224723381458
FDB57,OUT049,3621.3825502533405
FDV12,OUT049,1708.4294817675873
FDQ58,OUT013,2357.4838285334567
NCA18,OUT017,1845.7176388263215
FDH52,OUT049,1039.1330397726676
FDM24,OUT018,2187.971745136693
NCP43,OUT027,4616.105460408604
NCO18,OUT019,564.58709325655
FDM32,OUT017,1438.3041677090039
NCL07,OUT017,647.8871524079573
FDK03,OUT013,4344.558191290325
FDP59,OUT017,1599.5990016571902
FDQ24,OUT049,4172.611815817715
FDQ16,OUT018,1442.605287757382
FDU44,OUT013,2632.113255912746
FDH28,OUT010,225.62296590395894
FDV28,OUT019,232.09955897414463
FDM22,OUT045,886.5738320482395
FDR56,OUT046,3217.413033768574
FDV39,OUT049,3011.1221410544713
FDU37,OUT019,66.06956654008336
FDQ11,OUT010,987.575727500409
FDX02,OUT045,3709.3291306529104
NCS42,OUT018,1238.3782945144117
FDY57,OUT027,2757.010766533498
FDB21,OUT049,4039.316745390043
FDE28,OUT017,3641.381441129244
FDQ55,OUT017,2132.2713601379637
FDA48,OUT049,3614.8585707555662
FDZ19,OUT045,2566.7998205046374
NCC43,OUT045,3506.1838886602523
NCV18,OUT046,1436.3274358546653
NCA42,OUT018,2455.1961883641693
FDY45,OUT046,3807.771923291502
NCC30,OUT045,2809.0533846848407
FDM57,OUT013,1428.03400066361
FDL09,OUT010,493.6980824018505
FDB09,OUT027,3460.7839499262195
FDT44,OUT035,1997.4730069637455
NCT06,OUT027,4181.162124825167
FDX26,OUT049,3335.230863401174
FDK32,OUT013,2501.7835843286753
DRA12,OUT046,2229.849854721629
FDO46,OUT010,668.5839073006897
FDE52,OUT013,1402.3751961620467
NCH42,OUT045,3734.8485607914586
FDV08,OUT035,773.0802319986248
FDB47,OUT018,3148.4587250814857
FDC28,OUT010,133.86360420391148
FDD22,OUT046,1803.0829926270017
FDS07,OUT027,3338.6961490928593
DRI13,OUT045,3344.4395215560958
FDG32,OUT018,3392.801202916274
FDU14,OUT017,4045.7884105623766
FDD28,OUT019,66.21696852967914
NCP41,OUT017,1765.5229037966164
FDS08,OUT049,2727.763877668442
FDX47,OUT045,2393.0126361236453
FDC53,OUT019,131.88034080415684
FDQ19,OUT035,3899.3244880846837
FDL14,OUT045,2370.9199637822753
FDM33,OUT019,783.9524331193558
FDA51,OUT045,1829.3454299077796
FDZ27,OUT018,580.2178756750477
FDT04,OUT046,664.9475323918964
DRC13,OUT049,2092.7488771504145
FDR16,OUT027,5289.838539601623
FDQ03,OUT027,5736.904006248175
FDE38,OUT035,2728.3140827863895
DRH23,OUT027,1736.6352948680021
FDT11,OUT019,641.8145270529959
FDD09,OUT035,3262.5468246330074
FDR40,OUT045,1278.3639509501038
FDX07,OUT017,3220.4948425091548
FDR07,OUT035,1514.3977667979682
FDA51,OUT017,1898.5574149516867
FDT59,OUT019,773.6959129791693
FDF20,OUT017,3266.134682915703
FDR13,OUT045,1810.1124340263443
FDY26,OUT049,3720.8602563173463
FDW04,OUT017,2090.3892074234877
FDK52,OUT017,3949.1456163160256
FDN60,OUT049,2671.128150313491
FDM09,OUT019,500.85536733900625
FDP46,OUT049,1427.7312637518728
FDB50,OUT019,47.9708461769354
NCQ29,OUT049,4033.6444162176067
FDP16,OUT027,6082.075136258522
FDX33,OUT018,2349.2790569070826
FDP07,OUT010,598.9032884040704
FDN22,OUT046,3834.5401512990106
FDF39,OUT049,4137.139718904337
FDS21,OUT017,1049.8782698639925
NCM42,OUT013,1725.0778360261277
FDK50,OUT019,478.29076018088426
DRF13,OUT027,3691.622530705093
FDH35,OUT018,2265.526530236608
FDP60,OUT018,1379.7331179331995
DRJ49,OUT027,3165.334975594425
NCT42,OUT019,394.6488354327273
FDE38,OUT049,2775.1008129318457
FDI04,OUT049,3313.334365764082
NCH54,OUT045,2559.636880726541
FDT56,OUT049,883.4421741405657
DRD15,OUT018,3279.4268848452507
FDV58,OUT013,2749.876266299725
FDP21,OUT049,3215.0453339465626
FDH05,OUT013,3732.2186238373947
FDR10,OUT027,4252.573270071237
NCP06,OUT045,2244.2622091534536
FDF33,OUT049,1755.5853162581654
DRK37,OUT013,3157.0731502667345
DRH49,OUT045,1189.4650674311388
FDT58,OUT013,2724.5254858954454
FDD41,OUT018,1511.4509223669593
FDP40,OUT018,1635.788975880547
FDM51,OUT027,2738.198468604997
FDO45,OUT010,63.14944020669432
FDW33,OUT010,153.3758635780131
FDY24,OUT045,1029.09593878624
FDB10,OUT010,799.2375546178073
FDM40,OUT035,2175.6280348748332
NCI06,OUT017,3065.588214105679
FDW12,OUT019,383.2730754802831
FDX48,OUT027,3998.7920851504437
NCW05,OUT027,2751.9079776103767
FDX27,OUT017,1586.8793134040245
DRM37,OUT045,3289.969893048661
FDA38,OUT045,3582.7995359050124
FDR36,OUT046,745.3659793792671
FDZ45,OUT046,3254.7021971718045
FDG05,OUT017,2553.505652650903
FDK28,OUT013,4473.506661390797
FDV47,OUT045,1355.7821034590168
FDN21,OUT045,2555.097914431811
FDP20,OUT027,3494.4423880838276
FDI35,OUT045,3028.91538516055
DRY23,OUT013,677.9030158333941
FDA56,OUT017,2158.104913094465
FDB09,OUT013,1994.0791292840859
NCO26,OUT027,3064.055717174487
FDQ49,OUT018,2217.291459456194
FDI52,OUT027,3119.1528192476467
FDZ44,OUT027,3084.093232291101
FDZ09,OUT018,2443.3467286979953
FDY03,OUT049,1957.4031353152134
NCG42,OUT017,2176.71635555027
DRI13,OUT027,6044.123007284946
FDQ32,OUT013,2065.420537425161
FDW16,OUT035,1475.8537979126395
FDU27,OUT046,774.4195958831824
FDR28,OUT010,515.1642651197902
FDQ49,OUT010,443.3310046177578
FDS37,OUT046,1830.7477968675241
FDW26,OUT018,3241.092843311828
FDX12,OUT018,3424.2013371446797
NCP06,OUT013,2426.494368878564
FDW45,OUT010,345.23776938438647
NCN30,OUT049,1595.0799763422249
FDN24,OUT049,834.7002012598605
NCL41,OUT027,1273.5488077991647
FDR02,OUT019,207.02319100528678
FDD09,OUT010,649.111734939344
FDS33,OUT010,41.8846685257971
FDU22,OUT045,1918.5444795043447
FDI53,OUT013,2629.925523299066
DRH01,OUT049,2836.7743297040142
FDX32,OUT013,2413.3249634980743
NCP30,OUT018,437.6537213183207
FDB60,OUT045,3027.5452696845387
FDB14,OUT049,1432.7728154000295
NCP02,OUT035,974.6631458533665
FDJ10,OUT017,2070.1780847070313
FDG34,OUT046,1811.9921707273325
NCB18,OUT017,1446.065565792085
FDM16,OUT049,1174.766980689483
FDW25,OUT018,1225.0212434026364
FDB35,OUT010,100.24906689993092
DRN11,OUT013,2268.765226487251
FDF41,OUT019,908.2367833298412
FDH16,OUT045,1348.341147678228
NCQ50,OUT018,3135.488795115758
DRH23,OUT018,770.5835135923777
DRJ37,OUT013,2306.6092403623493
DRJ24,OUT027,5139.32101879317
FDY16,OUT035,3234.8517410118693
FDQ27,OUT045,1835.8853497083537
FDZ33,OUT045,2291.272225036559
FDF29,OUT045,2143.9663757025082
FDA08,OUT049,2742.781745944101
FDG31,OUT046,1040.4490512758866
FDE34,OUT019,594.3427960800674
NCR30,OUT027,2119.9167688832167
FDV33,OUT035,4315.330883041051
DRZ24,OUT018,1684.1727744457155
NCL54,OUT035,2934.32545046415
FDR12,OUT049,2924.2279039688146
NCC54,OUT046,3769.864742870876
DRN59,OUT013,710.7005312254132
FDX50,OUT019,176.86872687937293
FDV31,OUT027,4687.721131789279
NCA29,OUT027,4580.803957770122
FDW60,OUT049,3011.4542039210264
FDX08,OUT017,3293.93128279621
DRD49,OUT013,3851.0681866036466
FDD33,OUT046,3589.618299360373
FDW35,OUT013,665.872920510856
FDJ36,OUT017,1786.40826142922
FDV51,OUT035,2983.384080054467
FDW36,OUT046,1702.1809880265453
FDH35,OUT046,2550.513648398935
NCS30,OUT027,3276.2811610028243
FDN49,OUT017,654.4557841396781
FDL08,OUT018,3269.1738562131172
FDI09,OUT013,3647.850073708658
FDP19,OUT018,1872.1471584563621
FDU21,OUT010,267.7947056986158
NCP41,OUT045,1615.0175582759084
FDY10,OUT013,1789.3759414921794
FDP12,OUT018,374.9036133523232
NCN26,OUT049,1886.604769609582
FDK44,OUT013,2843.6160529899807
FDC28,OUT049,1714.6869763346942
FDJ41,OUT027,5780.894202584331
NCT29,OUT035,2068.15771802249
NCH42,OUT019,761.2596579217769
FDU60,OUT018,2543.9352344989243
FDS02,OUT045,3206.0516430149105
FDC51,OUT046,2119.355898882678
FDU03,OUT013,3202.024239492616
FDX39,OUT045,3658.325465079443
NCY05,OUT010,247.67444861162463
NCL06,OUT027,6014.130834826781
FDD32,OUT035,1299.4644928311836
NCN41,OUT045,1914.03567079886
NCX53,OUT049,2369.202475694017
FDU57,OUT019,346.1444671542037
FDQ23,OUT046,1774.095154202295
FDQ52,OUT045,4207.83902063137
FDC14,OUT045,645.8269648542129
FDY09,OUT035,3121.4602641212373
FDQ28,OUT045,2584.367112707026
FDV25,OUT046,4043.7310556102434
FDJ07,OUT035,1988.54643364224
DRB25,OUT049,1726.6099672848577
FDK52,OUT019,805.219754537328
FDY52,OUT027,1781.2478372783225
FDB28,OUT046,3169.592289477096
FDT36,OUT035,654.9986462264251
FDV25,OUT017,3830.2986429312527
NCN07,OUT027,3531.6749490905204
FDC57,OUT017,3237.439756946796
FDQ03,OUT018,3264.345879160588
FDU23,OUT017,2894.790724538765
NCX41,OUT035,3629.4147947806828
NCD06,OUT035,792.3421128315239
FDW08,OUT045,1665.61383787811
NCU29,OUT017,2539.0143003430912
NCE06,OUT013,2427.847602975897
FDV52,OUT010,173.87280752549023
FDB02,OUT017,2991.466675751275
NCR18,OUT045,646.124760248683
FDK16,OUT049,1626.590695122605
NCQ29,OUT010,1023.7893850589131
FDZ01,OUT019,208.47654719772035
FDW27,OUT035,2405.694227153492
FDD17,OUT018,3482.89068822043
FDW39,OUT013,2823.6204028913835
DRH59,OUT045,1067.9334326019273
FDS52,OUT013,1523.3617783619172
FDU40,OUT027,5094.155188301237
NCF54,OUT013,2721.9922457764646
FDH46,OUT045,1632.4209505696037
NCP14,OUT049,1824.0309330832806
FDH50,OUT049,3281.938084792306
DRF15,OUT010,381.91707578326464
FDV27,OUT027,2472.710247992276
NCJ06,OUT049,2067.132902650407
FDN02,OUT018,3156.2081363849125
FDQ51,OUT049,798.1463833859849
FDQ07,OUT017,3895.5717409391714
FDS45,OUT049,1845.5365390390318
NCJ06,OUT045,1937.3800022158118
FDD36,OUT035,2020.179041755936
FDY25,OUT045,3004.753287044247
FDU52,OUT046,2360.9950863729337
DRK47,OUT017,3810.1453413984905
NCL30,OUT017,2074.2807005041795
FDN22,OUT035,4006.379560047797
NCF30,OUT027,3400.987994693062
FDK03,OUT035,4517.982048820565
FDT45,OUT017,925.6798271204083
NCC54,OUT027,5602.100088571966
FDP08,OUT018,3039.3702849783135
